,Num_Acc,mois,hrmn,lum,agg,int,atm,lat,long
31400,201800031401,8,1542,1,2,1,1.0,43.74685,7.32254
31401,201800031402,9,1420,1,2,3,1.0,43.74247,7.31468
31402,201800031403,9,2035,5,2,1,1.0,43.76955,7.33237
31403,201800031404,10,1545,1,2,1,1.0,43.74124,7.31138
31404,201800031405,3,2000,3,1,1,4.0,48.86426,7.30906
31405,201800031406,4,1425,1,1,9,2.0,48.80393,7.40653
31406,201800031407,4,1500,1,1,1,1.0,48.91802,7.38194
31407,201800031408,4,1055,1,2,1,1.0,48.85694,7.55399
31408,201800031409,4,1710,1,2,4,1.0,48.93162,7.46399
31409,201800031410,4,1258,1,1,1,1.0,48.90671,7.45938
31410,201800031411,5,1005,1,2,1,1.0,48.87022,7.47823
31411,201800031412,5,1650,1,2,1,1.0,48.85742,7.31998
31412,201800031413,5,2330,3,1,1,1.0,48.90819,7.4252
31413,201800031414,6,1535,1,1,1,1.0,48.82925,7.42116
31414,201800031415,8,1750,1,2,1,1.0,48.858,7.32162
31415,201800031416,8,30,3,1,1,9.0,48.92667,7.50482
31416,201800031417,8,1630,1,1,1,1.0,48.86117,7.37245
31417,201800031418,9,1145,1,2,1,1.0,48.8498,7.46723
31418,201800031419,10,1555,1,1,1,1.0,48.85115,7.54231
31419,201800031420,10,1630,1,1,1,1.0,48.80401,7.53174
31420,201800031421,12,1215,1,1,1,8.0,48.87617,7.32319
31421,201800031422,12,1320,1,1,1,2.0,48.92545,7.37034
31422,201800031423,1,1425,1,1,1,1.0,46.61755,-1.14228
31423,201800031424,2,1538,1,1,2,1.0,46.47115,-1.10992
31424,201800031425,3,1400,1,1,6,2.0,46.52503,-1.08169
31425,201800031426,4,1415,1,1,1,2.0,46.46865,-1.15461
31426,201800031427,4,1751,1,1,1,1.0,46.80385,-0.7169
31427,201800031428,4,2346,4,2,1,1.0,46.58874,-1.04143
31428,201800031429,5,1650,1,2,1,1.0,46.39416,-1.02427
31429,201800031430,5,1003,1,1,1,1.0,46.6673,-0.77294
31430,201800031431,6,2130,2,1,1,1.0,46.50346,-0.93961
31431,201800031432,2,1757,2,2,1,1.0,50.09757,1.63975
31432,201800031433,3,1630,1,1,1,1.0,50.23708,1.75161
31433,201800031434,3,845,1,1,9,1.0,50.14064,1.80738
31434,201800031435,3,905,1,1,1,1.0,50.1392,1.80825
31435,201800031436,4,2345,3,1,1,1.0,50.06957,1.97823
31436,201800031437,4,240,3,1,1,1.0,50.06318,1.78926
31437,201800031438,5,1430,1,1,1,1.0,50.15877,1.7818
31438,201800031439,9,1130,1,1,1,2.0,50.01983,1.72152
31439,201800031440,11,2005,3,1,1,1.0,50.13261,1.83801
31440,201800031441,11,950,1,1,1,2.0,50.08137,1.94055
31441,201800031442,12,315,3,1,1,2.0,50.03691,2.04117
31442,201800031443,3,1945,3,1,1,2.0,49.51632,1.1945
31443,201800031444,6,2150,2,1,9,1.0,49.47398,1.02586
31444,201800031445,6,1845,1,1,1,1.0,49.54635,1.03811
31445,201800031446,7,1105,1,1,9,1.0,49.49482,0.99731
31446,201800031447,10,2330,3,1,1,1.0,49.51234,0.99157
31447,201800031448,5,2305,4,2,1,1.0,45.82138,-0.72544
31448,201800031449,5,1130,1,1,1,1.0,45.74921,-0.94819
31449,201800031450,7,2020,2,1,4,1.0,45.75101,-0.91503
31450,201800031451,7,1930,1,1,2,1.0,45.74597,-0.71037
31451,201800031452,8,745,1,1,1,1.0,45.74651,-0.8054
31452,201800031453,9,930,1,2,3,1.0,45.82556,-0.86432
31453,201800031454,9,1500,1,1,1,1.0,45.70366,-0.77379
31454,201800031455,9,1445,1,1,3,1.0,45.88248,-0.88888
31455,201800031456,10,530,3,1,1,1.0,45.84015,-0.80649
31456,201800031457,10,1520,1,2,4,1.0,45.83517,-0.68207
31457,201800031458,2,930,1,2,1,1.0,45.95993,5.34806
31458,201800031459,5,1900,1,2,3,1.0,45.98951,5.37523
31459,201800031460,6,1350,1,1,1,1.0,45.99034,5.34369
31460,201800031461,7,1710,1,1,1,9.0,45.96699,5.3372
31461,201800031462,8,2215,5,2,1,1.0,45.95111,5.44719
31462,201800031463,8,1730,1,1,3,1.0,45.94803,5.31979
31463,201800031464,9,1515,1,1,1,1.0,46.01531,5.34537
31464,201800031465,9,2110,3,1,1,1.0,45.96042,5.31562
31465,201800031466,10,1615,1,1,1,1.0,46.0096,5.34122
31466,201800031467,10,830,1,1,1,8.0,45.95318,5.35612
31467,201800031468,10,1940,5,2,9,1.0,45.95901,5.27578
31468,201800031469,10,2240,5,2,2,1.0,45.96118,5.35697
31469,201800031470,1,1545,1,1,1,1.0,42.77897,2.89447
31470,201800031471,2,730,1,1,1,1.0,,
31471,201800031472,2,1620,1,1,1,1.0,,
31472,201800031473,4,1710,1,1,1,1.0,42.52497,2.82017
31473,201800031474,4,1315,1,1,1,1.0,42.64226,2.86094
31474,201800031475,5,2140,5,1,1,1.0,42.53229,2.82683
31475,201800031476,5,1630,1,1,1,1.0,42.48427,2.8444
31476,201800031477,6,2045,3,1,1,3.0,,
31477,201800031478,7,1115,1,1,1,1.0,42.70897,2.86822
31478,201800031479,7,40,3,1,1,1.0,42.70897,2.86822
31479,201800031480,8,1130,1,1,1,1.0,42.59224,2.84985
31480,201800031481,8,1130,1,1,1,1.0,42.55704,2.84749
31481,201800031482,8,1830,1,1,1,1.0,42.70934,2.86828
31482,201800031483,8,1010,1,1,1,1.0,,
31483,201800031484,8,135,3,1,1,1.0,,
31484,201800031485,9,1700,1,1,1,1.0,42.84043,2.91135
31485,201800031486,10,1645,1,1,1,3.0,,
31486,201800031487,10,325,3,1,1,1.0,,
31487,201800031488,11,934,1,1,1,1.0,42.62626,2.85832
31488,201800031489,12,515,3,1,1,1.0,,
31489,201800031490,1,1730,1,2,1,1.0,48.48246,4.77253
31490,201800031491,1,2225,3,1,1,1.0,48.59331,4.84982
31491,201800031492,1,1540,1,1,1,1.0,48.54492,4.83186
31492,201800031493,2,1545,1,2,3,1.0,48.61856,4.90059
31493,201800031494,5,1510,1,1,1,1.0,48.60774,4.91289
31494,201800031495,5,1245,1,1,9,1.0,48.64651,4.87592
31495,201800031496,6,2050,2,1,1,8.0,48.67095,4.84283
31496,201800031497,6,840,1,2,1,1.0,48.58637,4.86357
31497,201800031498,8,630,2,1,1,2.0,48.51046,4.80144
31498,201800031499,9,815,1,1,1,1.0,48.6041,4.90707
31499,201800031500,10,1530,1,1,9,1.0,48.64699,4.8673
31500,201800031501,10,1520,1,1,1,1.0,48.61021,4.88551
31501,201800031502,10,1435,1,1,1,1.0,48.48667,4.74047
31502,201800031503,8,2015,2,2,1,1.0,49.0306,2.3715
31503,201800031504,1,1826,3,1,1,2.0,47.2212,6.07288
31504,201800031505,3,2146,3,1,1,2.0,47.49069,6.40374
31505,201800031506,4,651,2,1,1,1.0,47.34193,6.23952
31506,201800031507,4,1420,1,1,1,1.0,47.18547,5.82071
31507,201800031508,5,923,1,1,1,1.0,47.31029,6.20087
31508,201800031509,6,1500,1,1,1,1.0,47.50187,6.41582
31509,201800031510,7,650,1,1,1,1.0,47.35367,6.3167
31510,201800031511,7,1330,1,1,1,1.0,47.37173,6.33869
31511,201800031512,8,1915,1,1,1,1.0,47.36079,6.32073
31512,201800031513,9,1730,1,1,1,3.0,47.26723,5.92489
31513,201800031514,9,925,1,1,1,1.0,47.33759,6.17379
31514,201800031515,9,1530,1,1,6,1.0,47.17598,5.96395
31515,201800031516,12,2150,3,1,1,1.0,47.29161,5.83306
31516,201800031517,1,955,1,1,9,1.0,48.78684,7.75097
31517,201800031518,1,2050,3,2,1,3.0,48.8267,7.75898
31518,201800031519,1,800,1,2,1,1.0,48.8014,7.76718
31519,201800031520,2,1215,1,2,1,1.0,48.80682,7.7755
31520,201800031521,2,1200,1,2,2,1.0,48.8106,7.7923
