Num_Acc,catv,obs,obsm,manv
201800000545,07,13,0,14
201800000546,07,00,2,01
201800000546,07,00,0,15
201800000547,07,00,2,01
201800000547,07,00,2,15
201800000548,07,08,0,01
201800000549,02,00,5,00
201800000550,07,01,0,00
201800000551,07,01,1,00
201800000552,07,00,1,04
201800000553,07,00,2,01
201800000553,07,00,2,19
201800000554,31,00,2,01
201800000554,21,00,2,01
201800000555,10,00,1,01
201800000556,07,08,0,00
201800000557,07,00,2,17
201800000557,07,00,2,17
201800000558,07,00,2,01
201800000558,07,00,2,15
201800000559,07,00,2,00
201800000559,07,00,2,01
201800000560,07,00,2,02
201800000560,30,00,2,09
201800000561,02,00,2,01
201800000561,21,00,2,15
201800000562,07,02,0,01
201800000563,02,15,0,01
201800000564,10,00,2,13
201800000564,10,00,2,01
201800000565,07,00,2,09
201800000565,02,00,2,01
201800000566,02,00,2,01
201800000566,07,00,2,15
201800000567,07,13,0,00
201800000568,01,00,0,01
201800000569,07,00,2,01
201800000569,01,00,2,00
201800000570,01,00,0,01
201800000571,07,00,2,01
201800000571,07,00,2,19
201800000572,02,00,9,01
201800000573,07,00,2,01
201800000573,02,00,2,19
201800000574,07,00,2,02
201800000574,07,00,0,02
201800000575,07,00,0,02
201800000575,01,00,2,01
201800000576,01,00,0,01
201800000577,31,00,0,14
201800000578,07,00,2,05
201800000578,07,00,2,01
201800000579,07,13,0,00
201800000580,02,00,6,01
201800000581,07,00,2,02
201800000581,02,00,2,15
201800000582,07,00,1,01
201800000583,33,00,2,01
201800000583,07,00,0,01
201800000583,15,00,2,01
201800000584,33,03,0,01
201800000585,33,12,0,13
201800000586,07,00,2,01
201800000586,15,00,2,13
201800000587,21,00,0,13
201800000588,07,06,0,01
201800000589,33,00,2,01
201800000589,33,00,2,01
201800000590,07,00,2,01
201800000590,10,00,2,01
201800000591,07,00,2,13
201800000591,07,00,2,01
201800000592,07,00,1,04
201800000593,07,00,1,01
201800000594,07,00,1,01
201800000595,07,03,0,01
201800000596,07,00,2,15
201800000596,07,00,2,01
201800000597,07,00,2,01
201800000597,15,00,2,13
201800000598,07,00,1,13
201800000599,33,09,0,00
201800000600,07,00,2,01
201800000600,07,00,2,01
201800000601,07,06,0,13
201800000602,31,12,0,01
201800000603,07,00,2,01
201800000603,36,00,2,17
201800000604,07,02,0,00
201800000605,07,00,2,01
201800000605,07,00,2,01
201800000606,07,00,2,15
201800000606,33,00,2,01
201800000607,07,00,2,01
201800000607,33,13,2,13
201800000608,33,00,2,01
201800000608,07,00,2,15
201800000609,33,00,0,01
201800000610,07,00,2,00
201800000610,07,00,2,01
201800000611,33,00,2,17
201800000611,07,00,2,11
201800000612,02,00,2,17
201800000612,07,00,0,17
201800000613,07,07,2,01
